CAPITAL MARKETS:	FIXED INCOME SECURITIES-###-0.2774334205498315---SECURITIES REGULATION-###-0.3676808120598405---FINANCIAL DERIVATIVES-###-0.25412987751142063---
INTRO SOCI RESEARCH:	INTRO SOC RESEARCH-###-0.9604698449484147---Introduction to Sociological Research-###-0.9604698449484147---FIELD METH OF SOC RES-###-0.2713628721551199---Vagelos Integrated Program in Energy Research Seminar II-###-0.25456386993245106---VIPER SEMINAR II: Vagelos Integrated Program in Energy Research (VIPER) Seminar II-###-0.25456386993245106---QUANTITATIVE RESEARCH METHODS IN COMMUNICATION-###-0.32458410141264826---
MAT & METHODS MED ARCH:	ARCHAEOLOGY: WINDOW TO THE HUMAN PAST-###-0.30734806757163596---INTRO ARCHAEOLOGY-###-0.30734806757163596---
IPD THEORIES/METHODS I:	
BLACK AMER POL THOUGHT:	
THESIS WORKSHOP I:	RESEARCH SEMINAR-###-0.38863648284487334---HSOC SEMINAR: Research Seminar Health and Society-###-0.29419933699373224---SENIOR HONORS-###-0.34463873785370236---RESEARCH SEMINAR IN EXPERIMENTS IN CRIME AND JUSTICE-###-0.3762053231410644---DOING RESEARCH: DOING RESEARCH: QUALITATIVE METHODS AND RESEARCH DESIGN-###-0.2751690861027522---JUNIOR HONORS IN HISTORY-###-0.3344691613389319---RES SEM HEALTH & SOCIETY-###-0.29419933699373224---STSC SEMINAR-###-0.38863648284487334---
PETRARCH:  POETICS AND POLITICS OF THE MODERN LYRIC SELF:	CULTURE OF THE COURTS: The Culture of the Courts-###-0.3120336008065908---ADVANCED ITALIAN II-###-0.28336749367944136---
INTRO TO ECON MACRO:	INTERNATIONAL POL. ECON.-###-0.28064980308419546---INTERMED MACROECONOMICS-###-0.2603234333459298---INTERNATIONAL POL. ECON.: International Political Economy-###-0.28064980308419546---INTERNATIONAL ECONOMICS-###-0.3384665043212148---INTERNATIONAL TRADE-###-0.27667443595579416---INTERNATIONAL POL. ECON-###-0.28064980308419546---INTERNATIONAL POL. ECON: International Political Economy-###-0.28064980308419546---INTERNATIONAL POL ECON-###-0.28064980308419546---MACROECONOMICS (HALF CU)-###-0.27612356538015936---NATIONS, POL AND MARKETS-###-0.25010283895724944---
NEW MEDIA AND POLITICS:	INTRO TO POLITICAL COMM-###-0.282383315548778---
ARCHAEOLOGY: WINDOW TO THE HUMAN PAST:	INTRO TO ARCHAEOLOGY: LECTURE-###-0.27550526646099516---INTRO ARCHAEOLOGY: LECTURE-###-0.27550526646099516---Introduction to Digital Archaeology-###-0.3099526304394969---INTRODUCTION ARCHAEOLOGY-###-0.27550526646099516---MAT & METHODS MED ARCH-###-0.30734806757163596---INTRO TO ARCHAEOLOGY-###-0.27550526646099516---FOOD AND FIRE-###-0.2602416613183758---
SPAN FOR MED PROF ELEM 2:	Gender, Sexuality and Identity-Contemporary Caribbean Cultural Production-###-0.2864765646484103---CYBORGS, ROBOTS, AND GADGETS: TECHNOLOGIES IN CONTEMPORARY HISPANIC CINEMA-###-0.2864765646484103---SPAN FOR MED PROF ELEM 1-###-0.566854910738201---Telling It All: Women as Storytellers in Hispanic Fiction-###-0.2864765646484103---DON QUIXOTE NOW AND THEN-###-0.2864765646484103---ELEMENTARY SPANISH-###-0.3567401198492668---LITERATURE AND DICTATORSHIP IN LATIN AMERICA-###-0.2864765646484103---LITERATURE AND EVERYDAY LIFE IN COLONIAL SPANISH AMERICA-###-0.2864765646484103---Food in Latin American History and Culture-###-0.2864765646484103---GABRIEL GARCIA MARQUEZ AND 20TH-CENTURY LATIN AMERICAN LITERATURE-###-0.2864765646484103---The Portrayal of Youth in Modern Spanish Literature and Film-###-0.36207962688950474---CROSSING BORDERS IN LATIN AMERICAN CINEMA-###-0.2864765646484103---ADV SPANISH SYNTAX-###-0.3092888366288619---TPCS: SPAN/LTAM CINEMA: LATIN AMERICAN FILM-###-0.2864765646484103---BODY AND SOUL:  HISPANIC PERSPECTIVES ON HEALTH, ILLNESS, AND HEALTHCARE-###-0.2864765646484103---ELEMENTARY SPANISH II-###-0.5591577771733397---Architecture of Latin American Identities-###-0.2864765646484103---21st Century Latin American Literature-###-0.2864765646484103---STUDIES IN SPAN CULTURE-###-0.3591679251021433---MEXICO: REVOLUTION AND CULTURE-###-0.2864765646484103---Modern and Contemporary Spanish Literature: Penn in Madrid-###-0.2864765646484103---INTRODUCTION TO HISPANIC LINGUISTICS-###-0.28700781681471543---CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION-###-0.2864765646484103---THERE WILL BE BLOOD: REPRESENTATION OF THE CONQUISTADOR IN LATIN AMERICA-###-0.2864765646484103---Reading Old Spanish: Language in Context-###-0.2864765646484103---SPAN FOR MED PROF INT 2-###-0.5149576803813892---Spanish Culture and Civilization: Penn-in-Madrid-###-0.26913713107236503---CLOISTER, CASTLE AND COURT: MEDIEVAL IBERIAN LITERATURE & ARCHITECTURE-###-0.2864765646484103---Don Quijote Then and Now-###-0.2864765646484103---CONTEMPORARY SPANISH CINEMA-###-0.2864765646484103---GREEK/HERITAGE SPKRS II-###-0.2888019019150451---MURDERING THE PAST:  SPANISH POST-FRANCO NARRATIVE BY WOMEN-###-0.2864765646484103---Advanced Spanish II: Grammar and Composition-###-0.3736923709284401---Art & Ideology-Medieval & Early Modrn Iberia: Jews,Christians,Gypsies,Moors-###-0.2864765646484103---ADV SPAN II: GRMR/COMP-###-0.403780779132747---To Whom It May Concern: Literary Letters in Latin America-###-0.2864765646484103---MLA Proseminar: Looking for Don Quixote-###-0.2864765646484103---Fictions of Exceptionality in 20th-Century Latin American Literature-###-0.2864765646484103---SPANISH THEATER:  TEXT AND REPRESENTATION-###-0.2864765646484103---DON QUIJOTE THEN AND NOW-###-0.2864765646484103---MEXICAN CINEMA-###-0.2864765646484103---The Country, the City and the Borderland in Contemporary Latin American Lit-###-0.2864765646484103---Latin American Literature and Pop(ular) Culture-###-0.2864765646484103---DON QUIJOTE: DON QUIJOTE THEN & NOW-###-0.2864765646484103---STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY-###-0.2864765646484103---Between Fact and Fiction: Chronicle in Lt America from Span Conquest-21st C-###-0.2864765646484103---Reality and Appearance in Golden Age Spain-###-0.2864765646484103---THE SECRET CIRCLE: CRIME & CONSPIRACY FICTIONS IN CONTEMP LT AM LITERATURE-###-0.2864765646484103---Voices & Texts: Music, Literature & Culture in Modern & Contemporary Spain-###-0.36207962688950474---ELEM SPAN: ACCELERATED-###-0.29126242747497383---EXPERIMENTAL CULTURES AND POLITICS IN SPAIN-###-0.3591679251021433---Gabriel Garcia Marquez and Latin American Literature-###-0.2864765646484103---LATIN AMERICAN FILM-###-0.2864765646484103---
POL.CULTURE&AMER CITIES:	
HONORS CHEMISTRY I:	ADV CHEM ENG SCIENCE-###-0.2795991841863434---QUANTUM PHYS OF MATLS-###-0.292779219056548---INTRODUCTORY CHEM I-###-0.25140445019794255---
HEALTH EQUITY PROSEM: HEALTH EQUITY: CONCEPTUAL, LINGUISTIC, METHODOLOGICAL, AND ETHICAL ISSUES:	HEALTH OF POPULATIONS-###-0.2785936751336517---MEASUREMENT OF PHYSIOLOGIC VARIABLES RELATED TO HEALTH OUTCOME DISPARITY-###-0.26354781506042646---ASP - SEMINAR IN PRIVATE EQUITY-###-0.272218016369787---
MYTHS & RELIG ANC WORLD:	
Architecture of Latin American Identities:	Culture and Identity of the Lusophone World-###-0.6865532011806712---TOPICS FILM STUDIES: MODERN SCI-FI CINEMA-###-0.28375717493176156---IMMIGRANT URBAN LABOR IN THE U.S.-###-0.3968455749305142---ITALIAN DRAMA AND THE PERFORMANCE OF A NATION-###-0.37969532379417587---The French Novel of the 20th Century-###-0.41266792633358945---Critical Debates in Global Human Rights-###-0.2687834870228938---GEOGRAPHY AND THE NOVEL-###-0.41266792633358945---HUMAN RIGHTS IN THE AGE OF REVOLUTIONS-###-0.30969453662272173---20-21ST CENTURY FRENCH NOVEL-###-0.5105437571555637---PARIS IN FILM-###-0.3571266411514482---TOPICS FILM STUDIES: AMERICAN INDEPENDENTS-###-0.28375717493176156---THE ENLIGHTENMENT-###-0.2673942784178771---WRITING AND REMEMBERING-###-0.4315352643497023---THE ART OF THE INTERVIEW-###-0.4315352643497023---The Glorious "What If?": Writing Speculative Fiction-###-0.4315352643497023---Embodied Writing: A Writing Workshop-###-0.4315352643497023---SPAN FOR MED PROF ELEM 2-###-0.2864765646484103---The Portrayal of Youth in Modern Spanish Literature and Film-###-0.7107950277257573---How a Story Works: The Art of Fiction-###-0.4315352643497023---Sexuality, Terrorism, and Human Rights-###-0.2687834870228938---ELEMENTARY SPANISH II-###-0.2792812982280808---FASHION & IMAGE IN THE AFRICAN DIASPORA-###-0.30969453662272173---French Modernity and Its Discontents-###-0.4714218884892819---TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE-###-0.4829704541402612---TOPICS CULTURAL STUDIES: BLACKNESS ACROSS MEDIA-###-0.2720856907302495---TOPICS IN ASIAN AM HIST: Asian Americans and Public History/Memory-###-0.3968455749305142---The US and Human Rights: Policies and Practices-###-0.2595269623485744---APPROACHES TO GENRE: THE END IS COMING: APOCALYPSE IN FILM AND LITERATURE-###-0.33351499007988533---SPAN FOR MED PROF INT 2-###-0.27261224960126823---TPCS IN AFRICANA STUDIES: The History of Women and Men of African Descent at the University of Penn-###-0.27324536088485674---TOPICS: ITALIAN CULTURE: Love in Italian Literature-###-0.5105437571555637---TOPICS GERMAN CINEMA: FRITZ LANG-###-0.28694184085144064---APPROACHES TO GENRE: POETRY OUT LOUD-###-0.33351499007988533---WOMEN IN ITALIAN LITERATURE & CINEMA-###-0.4829704541402612---DANTE'S WORKS-###-0.42095914259995626---CONTEMPORARY NOVEL:  LITERATURE, POLITICS, ECONOMY-###-0.40788815844325305---TOPICS FILM STUDIES: HISTORICAL FILMS-###-0.28375717493176156---THE NOVEL AND MARRIAGE-###-0.3765035091240376---URBANIZATION AND ITS DISCONTENTS-###-0.30969453662272173---Love in Italian Literature-###-0.5105437571555637---WAR & CONQUEST IN MEDIEVAL EUROPE-###-0.30969453662272173---ASIAN AMERICAN COMMUNITIES & POPULAR CULTURE-###-0.3968455749305142---ARCHAEOLOGY OF FICTION-###-0.4315352643497023---THE FANTASTIC VOYAGE FROM HOMER TO SCIENCE FICTION-###-0.3335486871117002---BLACK FRANCE: HISTORY AND REPRESENTATIONS-###-0.4423803148857321---Between Fact and Fiction: Chronicle in LtAm from Span Conquest to 21st Cent-###-0.4049725214374075---CONTEMP BRAZILIAN CINEMA-###-0.6865532011806712---Fiction and Poetry-###-0.4315352643497023---GLOBAL FRANCE-###-0.4423803148857321---The Fantastic Voyage from Homer to Science Fiction-###-0.3335486871117002---ADV JOURNALISTIC WRITING: JOURNALISTIC STORY-TELL.-###-0.28836049931316704---SCIENCE AND LITERATURE-###-0.40788815844325305---THE CITY OF ROME: FROM CONSTANTINE TO THE BORGIAS-###-0.30969453662272173---Iraq and Syria from World War I to ISIS-###-0.30969453662272173---TOPICS IN ANIMATION: THE ANIMATION OF DISNEY-###-0.26764921555191434---ITALIANS IN AMERICAN CINEMA-###-0.28694184085144064---ORAL HISTORY-###-0.30969453662272173---The History of Women and Men of African Descent at the University of Penn-###-0.27324536088485674---MIGRATION AND REFUGEES IN AFRICA-###-0.30969453662272173---ADV JOURNALISTIC WRITING: SCIENCE/TECHNOLGY/SOCIET-###-0.28836049931316704---CAPITALISM AND HUMANITARIANISM-###-0.30969453662272173---THE SEXUAL LIFE OF COLONIALISM: GENDER & SEXUALITY IN THE COLONIAL WORLD-###-0.30969453662272173---TOPICS IN LUSOPHONE CULTURE - SOCIETY AND VISUAL ARTS-###-0.6865532011806712---VIOLENCE AND THE SACRED-###-0.28810345380656643---PLATO AND ARISTOTLE IN THE RENAISSANCE-###-0.3848047336585036---Mexican Conspiracies: Literature & Politics in Contemporary Narrative-###-0.4049725214374075---THE HISTORY OF CHILDREN'S TELEVISION-###-0.26764921555191434---GOVERNING THE WORLD: HIST OF INTERNATIONAL ORGANIZATIONS 1870S-PRESENT-###-0.30969453662272173---LIVING IN SCIENCE FICTION WORLD-###-0.27225448960388426---(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL-###-0.5105437571555637---TOPICS FILM STUDIES: MARTIN SCORSESE-###-0.28375717493176156---TOPICS IN BRAZILIAN CULT: CONTEMPORARY BRAZILIAN CINEMA: SOCIETY AND REALITY EFFECTS-###-0.6865532011806712---ADAPTATIONS: FROM PAPER TO SCREEN-###-0.4829704541402612---HISTORY, MEMORY, AND NOSTALGIA IN MODERN EUROPE-###-0.30969453662272173---GOD AND NATURE-###-0.30969453662272173---CONTEMPORARY ISSUES IN AMERICAN ANIMATION-###-0.26764921555191434---SPORT, POLITICS AND LITERATURE IN ITALIAN CULTURE AND BEYOND-###-0.5105437571555637---VOICES OF THE MIDDLE EAST: HISTORY THROUGH LITERATURE-###-0.30969453662272173---IMPROVISED CITIES IN THE MODERN WORLD-###-0.30969453662272173---STUDIES IN SPAN CULTURE-###-0.6892999729299761---After Odysseus. On Hospitality in France, North Africa & the Mediterranean-###-0.5634108376279003---Story-Telling in Fiction and Nonfiction-###-0.4315352643497023---WOMEN IN THE MIDDLE EAST: A MODERN HISTORY-###-0.30969453662272173---TOPICS FILM STUDIES: ROMANTIC COMEDY-###-0.28375717493176156---THE WORLD OF WORK-###-0.4315352643497023---WOMEN, CINEMA AND SOCIETY IN FRANCE SINCE 1944-###-0.5494756130754243---FROM PAPER TO SCREEN: CINEMATIC ADAPTATIONS-###-0.4829704541402612---ROME AND THE MARGINS OF MODERNISM-###-0.38361124444359485---Contemporary Fantastic Literature in Latin America-###-0.4049725214374075---TOPICS FILM HISTORY: LIFE IMITATES ART: THEORIES AND FORMS OF AVANT-GARDE CINEMA-###-0.28694184085144064---Topics in Luso-Brazilian Culture: Society and Visual Arts-###-0.4241032773511498---TOPICS FILM STUDIES: FILM FESTIVALS-###-0.28375717493176156---REL&COL RULE IN AFRICA-###-0.30969453662272173---GERMAN CENTURY:1890-1990-###-0.30969453662272173---ASIAN AMERICAN ACTIVISM: Asian American Activism and Organizing-###-0.3144081135301404---Murdering the Past: Women's Narrative in Post-Franco Spain-###-0.4049725214374075---FLORENCE IN HISTORY-###-0.30969453662272173---Antonioni and Fellini: The Challenge of (Post)modernist Cinema-###-0.38361124444359485---The Holocaust - Representation and Silence-###-0.40788815844325305---STORYTELLING IN THE DIGITAL WORLD-###-0.28836049931316704---Coming of Age in Latin America-###-0.4049725214374075---UNOFFICIAL HISTORIES OF THE COLONIAL CARIBBEAN-###-0.30969453662272173---TOPICS IN US HISTORY: JAPANESE/AMER INTERNMENT-###-0.30969453662272173---FEMINISM IN THE AMERICAS-###-0.30969453662272173---CLIMATE-FICTION/CATASTROPHE, AND CULTURAL PRODUCTION-###-0.27225448960388426---Culture and Identity in the Lusophone World-###-0.4241032773511498---Voices & Texts: Music, Literature & Culture in Modern & Contemporary Spain-###-0.7107950277257573---FRESHMAN SEMINAR: REPRESENTING AFRICA-###-0.3335486871117002---POLITICS:  RHETORIC AND POWER IN ITALIAN CULTURE AND BEYOND-###-0.4829704541402612---Food in Italian Culture: From Court Banquets to Food Trucks-###-0.5105437571555637---TOPICS IN ASIAN AMER LIT: ASIAN AMERICAN PROFESSIONALS-###-0.3968455749305142---EXPERIMENTAL CULTURES AND POLITICS IN SPAIN-###-0.6892999729299761---The City: Literary and Visual Tradition-###-0.5105437571555637---Asian American Cinema Movement: Fighting For Representation-###-0.3144081135301404---HISTORY AND THEORY OF ANIMATION-###-0.26764921555191434---Writing and Remembering: A Memoir Workshop-###-0.4315352643497023---
Strategic Brand Management:	Special Topics: Strategic Brand Management-###-0.7560765984263782---STRATEGIC BRAND MGMT-###-0.9493581903263082---
