TRUTH, POLITICS, ETHICS: ANTHROPOLOGICAL SEMINAR:	TOPICS IN ETHICS 0.15585828721390835,INTRO CULTURAL ANTHRO 0.10696044756418209,INTRO TO MED ANTHRO 0.12037345827576165,INTRO TO MED ANTHRO 0.12037345827576165,INTRO PALEOPATHOLOGY 0.1029913860463615,ETHICS IN THE PROFESSION: BUSINESS ETHICS 0.11203508042079884,
HISTORY OF THE BOOK IN EAST ASIA:	EAST ASIAN GARDENS 0.12596024842483314,RACE AND IDENTITY: COMING OF AGE IN 20TH CENTURY AMERICA 0.10248012519664969,ART & CIV IN EAST ASIA 0.1891062690703093,INTERMEDIATE JAPANESE II 0.13840629155960532,WRITING FOR CHILDREN: WRITING FOR YOUNG ADULTS 0.3285720078408273,GROTESQUE FORMS: MAKING COMICS 0.144338720253508,TPCS IN MEDIEVAL/REN ART: ART, POLITICS, AND POWER IN LATE MEDIEVAL AND RENAISSANCE FRANCE 0.28382542125297455,ARTS OF KOREA 0.10499838876013506,
INTRO TO BRAIN & BEHAV:	INTRO TO EXP PSYCH 0.1485078788911344,MOLECULAR AND CELLULAR NEUROBIOLOGY 0.10709644734719657,CROSS CULTRL APPR HEALTH 0.13858833727037437,NEURAL SYSTEMS AND BEHAVIOR 0.1117596216149714,ESSENTIALS OF PHYSIOLOGY 0.17110942508957508,INTEGRATED CELL BIOLOGY AND MICROBIOLOGY 0.11206886253457067,COMP VERT ANATOMY & EVOL 0.15126522526677103,CANCER CELL BIOLOGY 0.10202352045260465,SMELL AND TASTE 0.12668048312866417,NEURAL SYSTEMS AND BEHAVIOR 0.1117596216149714,CELL BIOLOGY 0.12482903966637857,PHYSIOLOGY MOTIVATED BEH 0.17897942514519283,DRUGS, BRAIN, AND MIND 0.11911215236136345,CANCER CELL BIOLOGY 0.10202352045260465,CHEMICAL PROCESS CONTROL 0.10431282706036456,MANAGING CUSTOMER VALUE 0.10976179770571556,NEUROENDOCRINOLOGY 0.2944190263933474,CHILD AND ADOLESCENT MENTAL HEALTH 0.11344392311019641,
TOPICS IN LOGIC:	INTRO TO QM II 0.15696269025649567,SELECT FROM MODERN MATH 0.20434364378831213,QUANTITATIVE METHODS I 0.1358680529162961,MANAGERIAL ECONOMICS 0.10855632689383969,GENERAL RELATIVITY AND GRAVITATION 0.10897307999865534,INTRO LITERARY THEORY 0.14133047745031443,SELECT GEOMTRY & TOPOLGY 0.13869912420784677,SEMINARS IN THRY & COMP 0.15828935130135463,STOCHASTIC PROCESSES 0.14860584055781917,Advanced Principles of Nurse Anesthesia Practice: Obstetrics, Pediatrics 0.11117200551367332,STOCHASTIC PROCESSES 0.14860584055781917,MODERNITY, COLONIALISM, AND RACE:  VIEWS FROM THE GLOBAL SOUTH 0.1657720568746271,INTRODUCTION TO MICRO ECONOMICS 0.11078010927084234,INTRO TO MICROECONOMICS 0.11078010927084234,MATH FOUND COMP SCI 0.2599464293657074,STRATEGIC REASONING 0.10561361065210026,INTRO TO QM II 0.15696269025649567,STRATEGIC REASONING 0.10561361065210026,CINEMA AND MEDIA: GLOBAL FILM THEORY 0.12332568167847674,FORMAL LOGIC I 0.20775765705207203,FORMAL LOGIC I 0.20775765705207203,MAIN CONCEPTS OF LITERARY AND CULTURAL THEORY FOR BEGINNERS 0.14133047745031443,GAME THEORY 0.18917497511632447,QUANTITATIVE METHODS I 0.1358680529162961,
CLINICAL FIELDWORK FOR NURSE ANESTHESIA PRACTICE II:	PRINCIPLES OF PALLIATIVE CARE 0.13138365347262962,LEADERSHIP, ADVOCACY, AND THE PRACTICE OF INTEGRATED NURSING CARE OF ASD 0.1164088948068885,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.25374072860364205,MANAGING LIFE-THREATENING ILLNESS FROM A PALLIATIVE CARE PERSPECTIVE 0.1277250358381013,CASE STUDY: CANCER 0.130342197114497,ADULT GERONTOLOGY ACUTE CARE NP: PROFESSIONAL ROLE AND CLINICAL PRACTICUM I 0.18591687902074222,HEALTH & BEHAVIORAL CARE PLANNING & INTERVENTION FOR AUTISM SPECTRUM DISORD 0.1419686587254604,INDEPENDENT STUDY: Global Local Independent Study 0.16338995578348955,PRECEPTORSHIP IN CLIN BE 0.1143758745916166,PC CLIN PRAC:COMPLEX DIAGNOSIS AND MANAGEMENT OF ADULTS ACROSS THE LIFESPAN 0.15829888779846604,PROFESSIONAL ROLE & CLINICAL PRACTICUM FOR PRIMARY CARE PREPARED PROVIDERS 0.1284324383865587,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.1466210153659122,INTEGRATION I 0.1357102740646958,PEDIATRIC NURSING 0.1337468646969668,CNS CLINICAL II: CLINICAL NURSE SPECIALIST: CLINICAL II (280 CLINICAL HOURS) 0.10444429452723507,APPLIED SCIENCES RELATED TO ANESTHESIA 0.10689837886370257,ADULT GERONTOLOGY ACUTE CARE NP: PROFESSIONAL ROLE AND CLINICAL PRACTICUM I 0.18591687902074222,PEDIATRIC NURSING 0.1337468646969668,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.25374072860364205,PRINCIPLES OF PALLIATIVE CARE 0.13138365347262962,PEDIATRIC NURSING 0.1337468646969668,CONCEPTS IN HEALTHCARE ECONOMICS 0.1000381901517209,CLINICAL PRACTICUM: CRITICAL CARE NURSING OF CHILDREN III 0.10431784140611869,CLINIC 0.38702929767654604,NURSING ADMINISTRATION PRACTICUM 0.10030075160040185,INTERMEDIATE PRINCIPLES OF PEDIATRIC ACUTE CARE 0.1632559757048158,CASE STUDY: CANCER 0.130342197114497,PROFESSIONAL ROLE & CLINICAL PRACTICUM FOR PRIMARY CARE PREPARED PROVIDERS 0.1284324383865587,INTEGRATING CLASSROOM AND CLINICAL PEDAGOGIES IN NURSING EDUCATION 0.10052246988567345,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.1466210153659122,NURSING IN THE COMMUNITY 0.17388500571535792,
WITCHCRAFT & POSSESSION:	
URBAN HOUSING & COMMUNITY DEVELOPMENT POLICY IN AMERICA:	PUBLIC POLICY PROCESS 0.1178345948582691,THE POLITICS OF HOUSING & URBAN DEVELOPMENT 0.11019024172023677,ELEC SYSTEMS & MARKETS 0.11110121073336221,THE CITY 0.14539340988141727,CORPORATE FINANCE 0.11109727589231012,INT'L HOUSING COMPARISNS 0.5392378099903559,INTERMEDIATE KOREAN I 0.13378809574127917,INT'L HOUSING COMPARISNS 0.5583048127817419,INTRO TO BUSINESS ECONOM 0.11676279263945596,FOUNDA OF PUBLIC HEALTH 0.1116338841072606,CORPORATE FINANCE 0.11109727589231012,Health, Sustainability & Built Environment Design 0.1354384318080714,INTRO TO BUSINESS ECONOM 0.11676279263945596,PHILADELPHIA 1700-2000 0.24326243819564844,PUBLIC POLICY AND THE NATION'S HEALTH 0.10273788835934693,
MARKETING STR:	PRINCIPLES OF RETAILING 0.16156002259623187,STRATGIC MKTG SIMULATION 0.13825569733329365,CONSUMER BEHAVIOR 0.11285313041899266,APPL PROB MODELS MKTG 0.16854475999887103,MNG STRAT PARTNERSHIPS: Managing Strategic Partnerships 0.10019961424149189,DATA MINING BUS INTEL: Data Mining for Business Intelligence 0.11922533147968103,Digital Marketing, Social Media and E-Commerce 0.12220772835627755,DYNAMIC MKTG STRATEGY 0.1411244684783692,Special Topics: Introduction to Brain Science for Business 0.10892430340152333,LAW OF MKTG & ANTITRUST 0.12796179450762382,LECTURE 0.2588825239568984,GAMIFICATION FOR BUS 0.10405933149783901,
INTEG COMP-AIDED DESIGN:	PRODUCT DESIGN 0.11079837337720017,GRAPHIC DESIGN WITH CREATIVE TECHNOLOGIES 0.17453480236771787,MEDICAL DEVICES 0.12915355728024897,DESIGN PROCESSES 0.13293934137680716,PROJECT MANAGEMENT 0.11787050537475392,NEEDFINDING 0.12594656113973957,Sexuality, Terrorism, and Human Rights 0.11169480451918724,ART, DESIGN AND DIGITAL CULTURE 0.10383750664535091,MEDICAL DEVICES 0.12915355728024897,PRODUCT DESIGN 0.11079837337720017,ART, DESIGN AND DIGITAL CULTURE 0.10383750664535091,MACH DESIGN & MANUFACT 0.19437825541387455,GRAPHIC DESIGN PRACTICUM 0.13106875148421823,ART, DESIGN AND DIGITAL CULTURE 0.10383750664535091,ENG MECHANICS: DYNAMICS 0.12429390798183865,JUNIOR RESEARCH SEMINAR:  CANTERBURY TALES 0.10302413190166809,ENG MECHANICS: DYNAMICS 0.12429390798183865,
NETWORK NEUROSCIENCE:	INTRO TO ALGORITHMS 0.1018254167929521,NEUROETHOLOGY 0.1445278489332855,Special Topics: Introduction to Brain Science for Business 0.1099995243613008,
US AND CHINA 1912-2012:	THE POLITICS OF GOVERNMENT IN THE WASHINGTON COMMUNITY 0.19830385682100918,RDGS MODRN CHINESE DOCUM 0.1144999701333434,RECENT AMER HIST 0.13183726151026454,CHINESE FOREIGN POLICY 0.15220964819219235,GENDER & RELIG IN CHINA 0.10563763917705991,20TH C CHINESE LIT/FILM 0.1904279880978689,20TH C CHINESE LIT/FILM 0.1864427168220962,20TH C CHINESE LIT/FILM 0.1904279880978689,THE ARTS OF CHINA 0.16321490141288023,CHINESE CLTURE & SOCIETY 0.10612836542852579,THE ARTS OF CHINA 0.16321490141288023,ADV BUSINESS CHINESE II 0.14611693115529598,INTERMED MOD CHINESE II 0.12531618574690892,COLD WAR: GLOBAL HISTORY 0.13600136615302594,20TH C CHINESE LIT/FILM 0.1864427168220962,WAR AND REPRESENTATION 0.12854974384189014,RDGS MOD CHINESE II:LIT 0.1400014083548033,INTERMED MOD CHINESE II 0.12531618574690892,
PEDIATRIC NURSING:	WELL WOMEN HEALTH CARE, THEORY 0.1372853574175466,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.16977991010553686,MANAGING LIFE-THREATENING ILLNESS FROM A PALLIATIVE CARE PERSPECTIVE 0.10158961837619446,ADVANCED ROLES IN ADMINISTRATIVE NURSING PRACTICE 0.1474979956832087,CASE STUDY: CANCER 0.15136290819604253,ADULT GERONTOLOGY ACUTE CARE NP: PROFESSIONAL ROLE AND CLINICAL PRACTICUM I 0.2247925111885369,PRECEPTORSHIP IN CLIN BE 0.12126284705967795,PROSEMINAR IN NURSING INNOVATION 0.17656657113180083,HEALTH CARE SYSTEMS 0.13005969683647334,PROFESSIONAL ROLE & CLINICAL PRACTICUM FOR PRIMARY CARE PREPARED PROVIDERS 0.1435688387907563,CLINICAL FIELDWORK FOR NURSE ANESTHESIA PRACTICE II 0.1337468646969668,PSYCHOPHARMACOLOGY ACROSS THE LIFESPAN 0.16289701053257002,SCIENTIFIC INQUIRY FOR EVIDENCE-BASED PRACTICE 0.1366983028180482,PRINCIPLES OF PALLIATIVE CARE 0.2564830455968689,CONCEPTS IN HEALTHCARE ECONOMICS 0.22746827012305396,E-HEALTH:BUSINESS MODELS: E-Health: Business Models and Impact 0.10699388243463222,NURSING OF WOMEN AND INFANTS 0.18404787368801404,CASE STUDY: BREAST FEEDING & HUMAN LACTATION 0.11666406378290117,NURSING ADMINISTRATION PRACTICUM 0.12761982397974,INTERMEDIATE PRINCIPLES OF PEDIATRIC ACUTE CARE 0.30536823633009286,CASE STUDY: CANCER 0.15136290819604253,Advanced Principles of Nurse Anesthesia Practice: Obstetrics, Pediatrics 0.18098894281234515,INTEGRATING CLASSROOM AND CLINICAL PEDAGOGIES IN NURSING EDUCATION 0.14113658518758948,ADV SPAN/MED PROFS: Advanced Medical Spanish 0.10023657001733494,HEALTH CARE SYSTEMS 0.13005969683647334,RACE, GENDER, CLASS AND THE HISTORY OF AMERICAN HEALTH CARE 0.193281755457029,NURSING IN THE COMMUNITY 0.37244735990734656,WELL WOMEN HEALTH CARE, THEORY 0.1372853574175466,PRINCIPLES OF PALLIATIVE CARE 0.2564830455968689,LEADERSHIP, ADVOCACY, AND THE PRACTICE OF INTEGRATED NURSING CARE OF ASD 0.16358302596946592,CROSS CULTRL APPR HEALTH 0.11529031217768462,CLINICAL MANAGEMENT OF PRIMARY CARE WITH YOUNG FAMILIES 0.23676531998524922,INTRO TO MED ANTHRO 0.1092540715372463,HEALTH & BEHAVIORAL CARE PLANNING & INTERVENTION FOR AUTISM SPECTRUM DISORD 0.22067575080172033,PC CLIN PRAC:COMPLEX DIAGNOSIS AND MANAGEMENT OF ADULTS ACROSS THE LIFESPAN 0.1516322210911098,SITUATING THE PRACTICE OF NURSING 0.10695528568864758,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.5420844376261602,INTEGRATION I 0.21564078588985586,CNS CLINICAL II: CLINICAL NURSE SPECIALIST: CLINICAL II (280 CLINICAL HOURS) 0.11885889133510423,AUTISM EPIDEMIC 0.10833747819976951,ADULT GERONTOLOGY ACUTE CARE NP: PROFESSIONAL ROLE AND CLINICAL PRACTICUM I 0.2247925111885369,CHILD AND ADOLESCENT MENTAL HEALTH 0.12987519620703125,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.16977991010553686,INTRO TO MED ANTHRO 0.1092540715372463,HC MGMT&STRAT 0.10909088616923068,CLINICAL PRACTICUM: CRITICAL CARE NURSING OF CHILDREN III 0.1680125008940511,CLINIC 0.14139115829460241,PROFESSIONAL ROLE & CLINICAL PRACTICUM FOR PRIMARY CARE PREPARED PROVIDERS 0.1435688387907563,PSYCHOLOGICAL AND SOCIAL DIVERSITY IN HEALTH AND WELLNESS 0.14716741198490202,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.5420844376261602,HEALTH SERVICES SYS 0.16604190213113657,PUBLIC POLICY AND THE NATION'S HEALTH 0.1647870976777443,HIGH RISK NEONATAL THEORY II 0.10326776039783793,
URBAN LAW:	REAL ESTATE DEVELOPMENT 0.100722195167558,REAL ESTATE DEVELOPMENT 0.100722195167558,LAW AND SOCIAL CHANGE 0.12042292179662797,CLASSIC AMERICAN CONSTITUTIONAL LAW 0.11734748552134038,POPULATION & SOCIETY 0.11599471262131389,AMERICAN CONSTIT LAW: Classic American Constitutional Law 0.11734748552134038,POPULATION & SOCIETY 0.11599471262131389,CONTEMP ISSUES AFR SOCIE 0.11810808219793664,Contemporary Issues in African Society 0.11810808219793664,HIST OF AMER LAW TO 1877 0.12124982491091943,JUSTICE, LAW & MORALITY: Philosophy and the Constitution 0.1766762403475716,LITERATURE AND LAW 0.10759692625307975,REAL ESTATE DEVELOPMENT 0.100722195167558,LAW & SOCIETY 0.12977925285193528,LAW AND SOCIAL CHANGE 0.12042292179662797,
ADV SPANISH SYNTAX:	CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION 0.23089248988058209,Gabriel Garcia Marquez and Latin American Literature 0.23089248988058209,INTRO LITERARY ANALYSIS 0.14771086489827995,ELEMENTARY SPANISH I 0.28258346175245697,Food in Latin American History and Culture 0.23089248988058209,MLA Proseminar: Looking for Don Quixote 0.23089248988058209,SPAN FOR MED PROF INT I 0.22573589552850665,ACCEL INTERMEDIATE SPAN 0.2748263167993841,SPAN FOR MED PROF INT 2 0.40247746502970216,ACCEL INTERMD PORTUGUESE 0.113760383980354,INTRODUCTION TO HISPANIC LINGUISTICS 0.29019799997935414,ELEMENTARY SPANISH II 0.36232651982729924,HIST OF SPANISH LANGUAGE 0.18618446236256517,ACCEL INTERMD PORTUGUESE 0.11415398783766405,INTERMEDIATE SPANISH II 0.26703651570621884,ELEMENTARY SPANISH 0.38005819720646977,Spanish Surrealism:  The Works of Salvador Dali 0.24537704954560738,ADVANCED SPANISH 0.13039337559523917,ADVANCED SPANISH 0.13039337559523917,ADV SPAN/MED PROFS: Advanced Medical Spanish 0.14591868880067121,BUSINESS SPANISH I 0.17031029835607758,STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY 0.23089248988058209,PRTG FOR SPANISH SPEAKER 0.1336852898684447,Telling It All: Women as Storytellers in Hispanic Fiction 0.23089248988058209,
RUSSIAN POLITICS:	SOVIET & POST-SOV ECON 0.16829604677473609,SOVIET & POST-SOV ECON 0.16829604677473609,NATIONALISM AND ETHNIC CONFLICT IN FILM 0.11231359337457941,SOVIET & POST-SOV ECON 0.16829604677473609,RUSSIAN & EAST EUROPEAN FILM AFTER WORLD WAR II 0.12969603578734332,THE SOVIET CENT 1917-91 0.16252989264584222,Slavery, Serfdom, and Cultures of Bondage in the U.S. and Russia 0.11278267029998551,ELEMENTARY RUSSIAN II 0.12475143008781799,
INTERMEDIATE MARATHI II:	INTERMEDIATE DUTCH II 0.1131768067523641,
SOCIOLOGY OF GENDER:	INTRO TO EXP PSYCH 0.10530285171024974,SOCIOLOGY OF GENDER 0.9879733925340256,COMMUNICATION BEHAVIOR 0.1026148513431731,SOCIAL PSYCHOLOGY 0.11947643053932697,THE ANTHROPOLOGY OF NOSTALGIA AND MEMORY 0.12814908510889403,GENDER & RELIG IN CHINA 0.14580116062282134,LAW AND SOCIAL CHANGE 0.11611656366741423,PERSONALITY & INDIV DIFF 0.13021612289679163,SOCIOLOGY OF EDUCATION 0.1325308865846593,RITUAL,MEMORY,PERFORMANC 0.10575275027614703,SOCIOLOGY OF EDUCATION 0.1325308865846593,SOCIAL STRATIFICATION 0.15388721833372684,INTRODUCTION TO ISLAM 0.10329608343341466,SOCIAL PROB & PUB POLICY: Social Problems & Public Policy 0.14440284087450087,INTRODUCTION TO ISLAM 0.10329608343341466,HISTORY & THEORY OF COMMUNITY ORGANIZING 0.109006665375609,SEX AND POWER 0.17779606523104557,RACE, GENDER, CLASS AND THE HISTORY OF AMERICAN HEALTH CARE 0.10412246003978533,FEMINIST ETHNOGRAPHY 0.2104523727489093,FEMINIST ETHNOGRAPHY 0.2104523727489093,LAW AND SOCIAL CHANGE 0.11611656366741423,
DIGITAL ILLUSTRATION:	DIGITAL PHOTOGRAPHY 0.12359962107360525,MIXED MEDIA ANIMATION 0.12955861986243994,DIGITAL PHOTOGRAPHY 0.12359962107360525,VISUALIZATION II 0.1322181499285494,
INTRO LOGIC & COMPUTABTY:	INTERMEDIATE ARABIC IV 0.14960209476648592,MALAGASY - INTER II 0.12891370042387637,POLISH/HERITAGE SPEAK II 0.16838287270364918,ELEMENTARY HUNGARIAN II 0.1279321878027474,INTERMEDIATE YIDDISH II 0.1081710126933091,ORGANIC CHEMISTRY II 0.1416129482159906,INTERMEDIATE ARABIC IV 0.14960209476648592,LINEAR ALGEBRA 0.1136635506751593,DISCRETE MATHEMATICS I 0.13596874073034926,MALAGASY - INTER II 0.12891370042387637,ELEMENTARY DUTCH II 0.13582207272505656,HONORS CALCULUS (CONTINUATION) 0.17195760434605464,LECTURE 0.13002036027723982,ABSTRACT ALGEBRA 0.1463350373728657,ADV TOPICS IN MATH STAT 0.1279321878027474,POLISH/HERITAGE SPEAK II 0.16838287270364918,INTERMEDIATE YIDDISH II 0.10323858207836362,ELEMENTARY ARABIC II 0.13612127328505536,ADVANCED ANALYSIS 0.12616379939118022,ADV INTERMED ARABIC II 0.13612127328505536,ADVANCED CALCULUS 0.4429138651151886,AFR LANG TUTOR: ADV II: TIGRINYA-AFR LANG ADV II 0.12891370042387637,COMMUNITY MATH TEACH PRO 0.11576783156568839,INTERMEDIATE ARABIC IV 0.14960209476648592,
INTERMEDIATE YORUBA I:	
AD PRIN OF NANS:SURGERY: Advanced Principles of Nurse Anesthesia Practice: Specialty Surgery:	NUTRITIONAL ASPECTS OF DISEASE 0.15659123850948295,INTEGRATED HUMAN ANATOMY, PHYSIOLOGY & PHYSICAL ASSESSMENT I 0.1014466644268928,ADVANCED DEVELOPMENTAL PHYSIOLOGY AND PATHOPHYSIOLOGY 0.3795919731661445,INTEGRATED HUMAN ANATOMY, PHYSIOLOGY & PHYSICAL ASSESSMENT I 0.1014466644268928,ADULT GERONTOLOGY ACUTE CARE NP: PROFESSIONAL ROLE AND CLINICAL PRACTICUM I 0.1295089222202016,ADULT GERONTOLOGY ACUTE CARE NP: PROFESSIONAL ROLE AND CLINICAL PRACTICUM I 0.1295089222202016,HIGH RISK NEONATAL THEORY II 0.1833980473915494,
INTERMEDIATE TELUGU I:	BEGINNING TELEGU II 0.6313844954791833,
ELEMENTARY GERMAN II:	ELEM TURKISH II 0.6078928826765538,INTERMEDIATE GERMAN II 0.2251039737354084,ELEMENTARY LATIN I 0.14638031140384208,ACCELERATED INTERMD GRMN 0.22657223436362256,ADVANCED PROFICIENCY II 0.11713194141940778,INTERMEDIATE YIDDISH II 0.12212539408577965,ADVANCED PROFICIENCY II 0.11713194141940778,INTERMED VIETNAMESE II 0.10084592222230868,ACCELERATED INTERMD GRMN 0.22657223436362256,INTERMEDIATE GERMAN I 0.2448264534725838,INTERMEDIATE GERMAN I 0.2448264534725838,INTERMEDIATE RUSSIAN I 0.10952884259837471,ELEMENTARY TURKISH I 0.26825521393493035,INTERMED INDONESIAN II 0.11143566191847895,ADVANCED SPANISH 0.10173603109697717,ELEMENTARY TURKISH I 0.26825521393493035,ELEMENTARY KOREAN II 0.15059834312479606,ADVANCED SPANISH 0.10173603109697717,ELEMENTARY TURKISH I 0.26825521393493035,
THEORETICAL NEUROSCIENCE:	GRAD PROSEMINAR IN MATH 0.1385085083627635,MOLECULAR AND CELLULAR NEUROBIOLOGY 0.14116959323092645,CALCULUS FOR WHARTON STU 0.211896185281288,POST BACC LATIN 0.1009494569051104,NEURAL SYSTEMS AND BEHAVIOR 0.14200039699306655,COGNITIVE NEUROSCIENCE 0.1371408155030519,INTRO TO COMPUTATIONAL BIOLOGY & BIOLOGICAL MODELING 0.10086576092883433,HUMAN MEMORY 0.12769622676856554,SENIOR PROJECT 0.1711113419927032,NEUROETHOLOGY 0.12134049317989525,NEURAL SYSTEMS AND BEHAVIOR 0.14200039699306655,INTRO COGNITIVE SCIENCE 0.15263279968357188,INTRO COGNITIVE SCIENCE 0.15263279968357188,NETWKING THEORY & FUND 0.10536877331195621,INTRO COGNITIVE SCIENCE 0.15263279968357188,NETWKING THEORY & FUND 0.10536877331195621,
CU IN INDIA: CU IN INDIA: LIVING TRADITIONS OF INDIAN LITERATURE:	CU IN INDIA: LIVING TRADITIONS OF INDIAN LITERATURE 0.9754862207193856,EAST ASIAN GARDENS 0.10264359841856183,DOING RESEARCH: DOING RESEARCH: QUALITATIVE METHODS AND RESEARCH DESIGN 0.11584634376688104,HSOC SEMINAR: Research Seminar Health and Society 0.10171626896782485,INTRO TO MODERN INDIA 0.19128558625739225,REHEARSAL & PERFORMANCE: The Eumenides by Aeschylus 0.11027242340117654,PLANNING TO BE OFFSHORE 0.19754472383237892,HIST,CLTR, EARLY INDIA: HISTORY, CULTURE AND RELIGION IN EARLY INDIA 0.11431592202689045,REHEARSAL & PERFORMANCE: Fefu and her friends by Maria Irene Fornes 0.11027242340117654,CU IN INDIA: LIVING TRADITIONS OF INDIAN LITERATURE 0.9754862207193856,
DECISION PROCESSES:	INTRO TO EXP PSYCH 0.10531574527540544,ADV TOPICS IN MATH STAT 0.11924250217437947,MATH FOUND COMP SCI 0.10581109140262059,ELEMENTARY LATIN II 0.10717038561774041,
TELEVISION AND NEW MEDIA:	INFO & BUS TRANSFRM 0.10162898680287047,SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture 0.15799981389680634,COMMUNICATION BEHAVIOR 0.14646908699526304,PRINCIPLES OF ADVERTISNG 0.12086396802551778,DIGITAL PHOTOGRAPHY 0.11021960753442425,AR RDGS SOC SCI 0.10032898922505631,SOC. OF MEDIA & POP CULT: Sociology of Media and Popular Culture 0.1259510497573816,DIGITAL PHOTOGRAPHY 0.11021960753442425,MEDIA AND RELIGION 0.14814882898074763,SOC. OF MEDIA & POP CULT 0.15799981389680634,MEDIA ARABIC 0.10032898922505631,TELEVISION AND NEW MEDIA 0.13167408967486244,PRINCIPLES OF ADVERTISNG 0.12086396802551778,
JAZZ:STYLE & HISTORY:	MUSIC AND PERF OF AFRICA 0.10314765114449646,ANONYMOUS:  HISTORY'S MOST PROLIFIC COMPOSER 0.12441719541038562,
MARKETING STRATEGY:	PRINCIPLES OF RETAILING 0.16156002259623187,STRATGIC MKTG SIMULATION 0.13825569733329365,CONSUMER BEHAVIOR 0.11285313041899266,APPL PROB MODELS MKTG 0.16854475999887103,MNG STRAT PARTNERSHIPS: Managing Strategic Partnerships 0.10019961424149189,DATA MINING BUS INTEL: Data Mining for Business Intelligence 0.11922533147968103,Digital Marketing, Social Media and E-Commerce 0.12220772835627755,DYNAMIC MKTG STRATEGY 0.1411244684783692,Special Topics: Introduction to Brain Science for Business 0.10892430340152333,LAW OF MKTG & ANTITRUST 0.12796179450762382,LECTURE 0.2588825239568984,GAMIFICATION FOR BUS 0.10405933149783901,
BIO BASIS PSYCHIA DISORD:	CLINICAL PSYCHOPHARMACOL 0.10955091175414296,DEVELOPMENTAL PSYCHOLOGY 0.1018625469738114,BIOLOGY OF HUMAN DISEASE 0.10128462683362494,DRUGS, BRAIN, AND MIND 0.12326426345906809,CLINICAL PSYCHOPHARMACOL 0.10955091175414296,NEURO BASIS OF AUTISM 0.10039725914409416,
INTERMEDIATE JAPANESE II:	HISTORY OF THE BOOK IN EAST ASIA 0.13840629155960532,INTERMEDIATE JAPANESE IV 0.18319418747843752,WRITING FOR CHILDREN: WRITING FOR YOUNG ADULTS 0.1329411154378,ADVANCED PROFICIENCY II 0.1844892946100111,ADVANCED PROFICIENCY II 0.1844892946100111,JAPANESE/PROFESSIONS I 0.3567962764756688,SUSHI&RAMEN:GLOBAL FOOD 0.1667895240441644,INTERMED JAPANESE III 0.4101776524441547,INTERMED JAPANESE III 0.2631299983772355,BEGNNING JAPANESE IV 0.25250801682728297,HISTORY OF THE BOOK IN EAST ASIA 0.13840629155960532,ACCEL INTERMD PORTUGUESE 0.10209917298310958,BEGINNING JAPANESE III 0.26522689419404655,INTERMEDIATE JAPANESE I 0.4542465347315911,ACCEL INTERMD PORTUGUESE 0.1024524297752215,BEGNNING JAPANESE IV 0.25250801682728297,RDG CLASSICAL JAPANESE I 0.12422659567703248,THE POLITICS OF SHINTO 0.10072911571936122,BEGNNING JAPANESE IV 0.25250801682728297,JAPANESE/PROFESSIONS II 0.3567962764756688,
ANCIENT SEAFARING:	GREEK VASE PAINTING 0.12452148201426919,Introduction to Mediterranean Archaeology 0.14411683404509043,ANCIENT GREECE 0.18423384296261294,PREHISTORY - RENAISSANCE: INTRO TO WESTERN ART 0.13408594630583295,GREEK ART AND ARTIFACT 0.14521370778702397,HISTORICAL LINGUISTICS 0.1372613480923443,
BEGINNING CANTONESE II:	ELEMENTARY ZULU II 0.10580348082926706,1ST YR CLASSICAL CHIN I 0.10850801610772194,ELEMENTARY AMHARIC I 0.10866868588658067,1ST YR CLASSICAL CHIN I 0.10850801610772194,1ST YR CLASSICAL CHIN I 0.10850801610772194,ELEMENTARY ZULU I 0.1059062055843517,
